highlights,Summary,Transformed_summary
"Experts question if  packed out planes are putting passengers at risk .
U.S consumer advisory group says minimum space must be stipulated .
Safety tests conducted on planes with more leg room than airlines offer .",U.S consumer advisory group says minimum space must stipulated . Experts question packed planes putting passengers risk .,U.S consumer advisory group says minimum space must stipulated. Experts question packed planes putting passengers at risk. U.S. consumer advisory. group: Minimum space must be stipulated on planes. Experts: Packed planes are putting passengers risk.. Experts say packed planes is putting passengers in danger.
"Drunk teenage boy climbed into lion enclosure at zoo in west India .
Rahul Kumar, 17, ran towards animals shouting 'Today I kill a lion!'
Fortunately he fell into a moat before reaching lions and was rescued .","Rahul Kumar , 17 , ran towards animals shouting 'Today kill lion ! ' Drunk teenage boy climbed lion enclosure zoo west India .","Rahul Kumar, 17, ran towards animals shouting 'Today kill lion!'Drunk teenage boy climbed lion enclosure zoo zoo west India. Rahul Kumar is a 17-year-old boy from west India who was drunk when he climbed the lion enclosure at zoo."
"Nottingham Forest are close to extending Dougie Freedman's contract .
The Forest boss took over from former manager Stuart Pearce in February .
Freedman has since lead the club to ninth in the Championship .",Forest boss took former manager Stuart Pearce February . Nottingham Forest close extending Dougie Freedman 's contract .,Nottingham Forest are close to extending Dougie Freedman's contract. Forest boss took former manager Stuart Pearce February. Nottingham Forest are also close to signing a new deal to keep Freedman at the club for the next two years. Forest are currently 17th in the Championship table.
"Fiorentina goalkeeper Neto has been linked with Liverpool and Arsenal .
Neto joined Firoentina from Brazilian outfit Atletico Paranaense in 2011 .
He is also wanted by PSG and Spanish clubs, according to his agent .
CLICK HERE for the latest Liverpool news .",Neto joined Firoentina Brazilian outfit Atletico Paranaense 2011 . Fiorentina goalkeeper Neto linked Liverpool Arsenal .,Neto joined Firoentina Brazilian outfit Atletico Paranaense 2011. Fiorentina goalkeeper Neto linked Liverpool Arsenal with a move to the Premier League. Neto has also been linked with Liverpool and Arsenal in the last few years. neto has played in the Champions League and the European Champions League.
"Tell-all interview with the reality TV star, 69, will air on Friday April 24 .
It comes amid continuing speculation about his transition to a woman and following his involvement in a deadly car crash in February .
The interview will also be one of Diane Sawyer's first appearances on television following the sudden death of her husband last year .","comes amid continuing speculation transition woman following involvement deadly car crash February . Tell-all interview reality TV star , 69 , air Friday April 24 .","comes amid continuing speculation transition woman following involvement deadly car crash February. Tell-all interview reality TV star, 69, air Friday April 24 on ""This is Life with Kelly and Toni"" airs Friday, April 24 at 9 p.m. ET on TLC."
"Giant pig fell into the swimming pool at his home in Ringwood, Hampshire .
It took the efforts of a team of firefighters to winch him out of the water .
A wayward horse also had to be rescued from a swimming pool in Sussex .","took efforts team firefighters winch water . Giant pig fell swimming pool home Ringwood , Hampshire .","took efforts team firefighters winch water. Giant pig fell swimming pool home Ringwood, Hampshire. Giant pig. fell in a swimming pool at a home in Ringwood, Hampshire. Giant. pig fell in. a swimming. pool at. a. home in. Ringwood,. Hampshire."
"Figures show that while millions still tune in they listen for shorter bursts .
Average listener spent ten hours a week tuning in last three months of 2014 .
This was 14% down on decade earlier, when people tuned in for 11.6 hours .
The BBC Trust has cleared the way for firms to buy their way into lifestyle programmes on the World News channel in a product placement experiment. For example, publishers could pay to have their books reviewed on Talking Books. The BBC Trust will review the scheme in a year.",Average listener spent ten hours week tuning last three months 2014 . Figures show millions still tune listen shorter bursts .,Average listener spent ten hours week tuning last three months 2014. Figures show millions still tune listen listen shorter bursts in shorter bursts. Average listener spent 10 hours a week tuning for three months in 2014. Average listen time was 10 hours and a half hours. Average listening time is 10.5 hours per week.
"Show will return with a one-hour special, followed by spinoff, star John Stamos says .
He announced the show Monday night on ""Jimmy Kimmel Live""","announced show Monday night `` Jimmy Kimmel Live '' Show return one-hour special , followed spinoff , star John Stamos says .","announced show Monday night will be a one-hour special, followed spinoff, star John Stamos says. Jimmy Kimmel Live '' Show return one- hour special, follows spinoff is a follow-up special, star says. The special will be followed by a spin-off special."
"Reanne Evans faced Ken Doherty in World Championship qualifier .
Doherty won the world championship in 1997 .
Evans lost the first frame 71-15 against Doherty .
But the Dudley native fought back to lead 4-3 .
Ken Doherty, however, managed to close out an enthralling contest 10-8 .",Doherty world championship 1997 . Reanne Evans faced Ken Doherty World Championship qualifier .,Doherty world championship 1997.. Reanne Evans faced Ken Doherty World Championship qualifier.. Reanna Evans faced. Ken.Doherty World.Championship qualifier.Reanne.Evans faced..Ken Doherty in a World Championship.qualifier.
"Gang have been jailed for a total of 31 years for sexually abusing children .
Offences happened in cars, woods or at the defendants' homes in Banbury .
Lured victims to parties organised on social media and then abused them .
Girls aged between 13 and 16 were exploited by the gang from 2009 to 2014 .","Offences happened cars , woods defendants ' homes Banbury . Gang jailed total 31 years sexually abusing children .","Offences happened cars, woods defendants'homes Banbury. Gang jailed total 31 years sexually abusing children. Offences happened in cars, woods defendants' homes. Gang jailed a total of 31 years for sexual abuse of children in a gang of 31-year-olds."
